0	1	9.997225e-01
0	-8	9.999599e-01
0	9	9.999593e-01
0	-13	1.613791e-01
0	14	1.859541e-01
0	-15	9.997060e-01
0	16	9.999800e-01
0	-17	1.000000e+00
0	18	9.997226e-01
0	-25	1.000000e+00
0	26	9.999593e-01
0	-32	9.998724e-01
0	33	1.000000e+00
0	-39	9.999789e-01
0	40	9.996599e-01
0	-52	9.999601e-01
0	53	9.999800e-01
0	-54	9.999800e-01
0	55	9.999590e-01
0	-59	9.999790e-01
0	60	9.969219e-01
0	-64	9.998906e-01
0	65	9.999591e-01
0	-68	9.999786e-01
0	69	9.999591e-01
0	-73	9.999593e-01
0	74	9.999789e-01
0	-79	9.999786e-01
0	80	9.999096e-01
0	-86	9.999591e-01
0	-87	1.000000e+00
0	87	9.996274e-01
0	88	1.000000e+00
0	-93	9.996578e-01
0	94	9.999593e-01
0	-100	1.000000e+00
0	101	9.999280e-01
0	-107	9.999280e-01
0	108	4.188180e-05
0	-108	2.500000e-01
0	-109	9.999400e-01
0	110	9.968977e-01
0	-111	9.998908e-01
0	112	1.000000e+00
0	-113	9.999395e-01
0	114	9.996596e-01
0	-115	9.999789e-01
0	116	9.997226e-01
0	-116	9.999393e-01
1	2	9.999953e-01
1	-93	2.350825e-10
-1	87	1.522699e-08
-1	-112	6.531003e-13
-2	18	2.385587e-10
-2	-65	4.500215e-14
-2	-112	1.359433e-14
-2	-113	2.084666e-12
2	3	9.871290e-01
2	-7	1.400887e-03
-3	8	1.652357e-03
3	4	9.997043e-01
3	-4	7.114719e-07
3	5	7.128920e-09
3	6	2.793723e-10
3	-6	9.790492e-08
-4	5	5.211076e-09
-4	6	2.301811e-08
4	-5	8.780393e-03
4	5	2.430309e-01
4	6	9.828682e-08
4	-6	1.049541e-07
5	6	9.613514e-01
-5	6	1.006143e-02
-6	7	5.260220e-09
6	7	9.993675e-01
6	8	9.654823e-07
7	8	5.733455e-01
-8	-103	8.069323e-09
-8	113	5.276472e-11
8	66	7.159702e-13
8	76	6.964657e-13
-9	38	2.111423e-10
-9	55	1.008058e-10
9	10	1.000000e+00
10	11	6.126105e-03
10	12	9.870979e-01
11	12	4.341330e-03
11	-13	6.295510e-02
11	13	1.699030e-09
11	110	2.114961e-08
-11	-12	2.095129e-08
-11	14	2.850766e-04
-11	-110	2.909250e-08
-11	110	3.031435e-08
-12	18	2.038831e-10
12	-13	1.013748e-09
12	13	9.999952e-01
-13	90	5.033340e-14
13	14	1.732313e-01
13	-86	1.266595e-08
14	15	9.989258e-01
14	34	2.109232e-10
14	56	2.120130e-08
14	-90	2.310317e-10
-14	15	1.340903e-04
15	-72	2.295362e-08
15	87	9.976486e-11
15	-114	6.541347e-13
-15	-64	1.043730e-10
16	17	1.000000e+00
-16	-40	2.046669e-10
18	19	9.871291e-01
18	-24	6.720239e-05
-19	25	6.800004e-05
19	20	9.997345e-01
19	-21	2.400132e-06
19	-24	6.676223e-09
19	-57	7.969582e-11
20	21	9.999999e-01
-20	25	7.197334e-09
-20	-55	6.141278e-11
-21	-23	4.205785e-15
21	22	4.860452e-02
21	-22	3.972714e-02
-22	23	4.300978e-02
22	23	8.958157e-01
23	24	9.999999e-01
-23	56	6.538025e-08
-23	58	3.918117e-08
24	25	9.787535e-01
-25	-58	2.367876e-12
26	27	9.871303e-01
26	-31	4.181796e-05
-26	-31	2.123893e-10
-26	-42	4.774338e-10
-27	32	4.173741e-05
27	28	1.000000e+00
28	29	1.000000e+00
29	30	9.984604e-01
29	31	2.339933e-06
29	-112	6.509354e-13
